HTTP Code,Download Time,Download Size,URL
07/17/2014 11:40:13 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:40:43 AM,200,0.026,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:41:13 AM,200,0.031,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:41:43 AM,200,0.028,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:42:13 AM,200,0.030,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:42:44 AM,200,0.030,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:43:14 AM,200,0.506,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:43:44 AM,200,0.025,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:44:14 AM,200,0.030,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:44:44 AM,200,0.034,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:45:14 AM,200,0.028,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:45:44 AM,200,0.032,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:46:14 AM,200,0.030,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:46:44 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:47:15 AM,200,0.032,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:47:45 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:48:15 AM,200,0.031,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:48:45 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:49:15 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:49:45 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:50:15 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:50:45 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:51:15 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:51:45 AM,200,0.031,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:52:15 AM,200,0.040,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:52:45 AM,200,0.026,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:53:15 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:53:45 AM,200,0.465,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
