HTTP Code,Download Time,Download Size,URL
07/21/2014 10:48:44 AM,200,0.024,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:48:44 AM,200,0.026,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:48:44 AM,200,0.311,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:49:15 AM,200,0.099,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:49:15 AM,200,0.036,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:49:15 AM,200,0.052,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:49:15 AM,200,0.030,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:49:15 AM,200,0.027,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:49:15 AM,200,0.357,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:49:45 AM,200,0.480,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:49:45 AM,200,0.033,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:49:45 AM,200,0.029,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:49:45 AM,200,0.049,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:49:45 AM,200,0.064,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:49:45 AM,200,0.785,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:50:17 AM,200,1.083,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:50:17 AM,200,0.031,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:50:17 AM,200,0.034,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:50:17 AM,200,0.024,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:50:17 AM,200,0.026,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:50:17 AM,200,0.318,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:50:49 AM,200,0.043,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:50:49 AM,200,0.031,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:50:49 AM,200,0.047,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:50:49 AM,200,0.024,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:50:49 AM,200,0.024,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:50:49 AM,200,0.552,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:51:19 AM,200,0.043,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:51:19 AM,200,0.041,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:51:19 AM,200,0.030,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:51:19 AM,200,0.038,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:51:19 AM,200,0.028,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:51:19 AM,200,0.526,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:51:50 AM,200,0.037,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:51:50 AM,200,0.031,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:51:50 AM,200,0.027,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:51:50 AM,200,0.029,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:51:50 AM,200,0.030,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:51:50 AM,200,0.490,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:52:21 AM,200,0.034,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:52:21 AM,200,0.036,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:52:21 AM,200,0.027,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:52:21 AM,200,0.024,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
